"Table 5.6.A. Average Retail Price of Electricity to Ultimate Customers by End-Use Sector,",,,,,,,,,,
"by State, January 2015 and 2014 (Cents per Kilowatthour)",,,,,,,,,,
,Residential,,Commercial,,Industrial,,Transportation,,All Sectors,
Colorado,11.39,11.44,9.18,9.36,6.65,6.88,9.88,10.72,9.31,9.49
Idaho,9.66,9.17,7.59,7.30,5.64,5.43,--,--,8.06,7.66
Montana,10.74,9.88,10.84,9.31,5.18,5.59,--,--,9.35,8.64
Nevada,12.70,12.46,9.61,9.64,5.93,5.95,8.70,8.15,9.22,9.18
New Mexico,12.18,11.28,10.24,9.49,6.16,5.94,--,--,9.65,9.00
Utah,10.33,10.00,7.96,7.69,5.63,5.53,10.18,9.87,7.89,7.71
Wyoming,10.28,9.77,8.75,8.48,6.47,6.31,--,--,7.73,7.51
Pacific Contiguous,13.68,13.19,12.21,11.62,7.76,7.57,8.04,8.43,11.93,11.49
California,17.47,16.62,13.98,13.06,10.74,10.32,8.00,8.42,14.73,13.94
Oregon,10.30,10.08,8.76,8.67,5.78,5.97,9.15,8.46,8.81,8.80
Washington,8.13,8.58,7.66,7.89,4.21,4.34,8.27,8.36,6.98,7.33
Pacific Noncontiguous,26.22,27.50,23.92,25.71,23.24,26.09,--,--,24.47,26.42
Alaska,19.35,18.21,17.26,16.68,14.44,14.70,--,--,17.51,16.88
Hawaii,33.34,37.40,31.07,34.92,26.68,30.82,--,--,30.04,34.08
U.S. Total,12.10,11.65,10.30,10.34,6.62,6.94,10.67,10.29,10.19,10.13
"See Technical notes for additional information on the Commercial, Industrial, and Transportation sectors.
Displayed values of zero may represent small values that round to zero.  The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Notes: - See Glossary for definitions. - Values are preliminary estimates based on a cutoff model sample.
See Technical Notes for a discussion of the sample design for the Form EIA-826.
Utilities and energy service providers may classify commercial and industrial customers based on either NAICS codes or demands or usage falling within specified limits by rate schedule.
Changes from year to year in consumer counts, sales and revenues, particularly involving the commercial and industrial consumer sectors, may result from respondent implementation of changes in the definitions of consumers, and reclassifications.
Totals may not equal sum of components because of independent rounding.
Source: U.S. Energy Information Administration, Form EIA-826, Monthly Electric Sales and Revenue Report with State Distributions Report.",,,,,,,,,,
